table_name|columns|col_count
tbl_csv_details|id:bigint,number:bigint,file_name:text,file_size:bigint,file_path:text,file_hash:text,zip_file_id:bigint,manage_id:text,package_file_count:bigint,package_file_hash:text,chain_id:text,prove_file_path:text,verify_result:smallint,system_type:smallint,type:smallint,tx_hash:text,cert_hash:text,cmt:text|18
tbl_slot_file_15|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:integer,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|17
tbl_slot_file_13|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:integer,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|17
tbl_slot_file_12|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:integer,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|17
tbl_slot_file_30|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:integer,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|17
tbl_slot_file_1000000|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:integer,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|17
tbl_drivers|driver_id:integer,lib_id:integer,drive_order:integer,drive_letter:text,sata_num:smallint,driver_sn:text,start_time:timestamp without time zone,write_time:integer,read_time:integer,error_times:integer,virtual_path:text,drive_status:integer,buffer_path:text,disc_side:smallint,disc_status:integer,warn_time:integer,swarn_time:integer|17
tbl_disc_inspect|id:integer,check_id:text,disc_type:text,disc_mid:text,disc_sn:text,disc_vid:text,inspect_type:smallint,inspect_mode:smallint,inspect_start_time:timestamp without time zone,inspect_stop_time:timestamp without time zone,inspector:integer,rser:text,error:integer,ue:smallint,result_evaluation:text,csv_path:text,cmt:text|17
tbl_interface_task|id:bigint,create_time:timestamp without time zone,batch_id:text,task_id:bigint,volume_id:text,processing:smallint,job_type:smallint,job_stage:smallint,job_status:smallint,job_progress:smallint,cmt:text,err_code:smallint,err_str:text,buffer_id:integer,json_path:text,json_type:smallint,project_id_list:text|17
tbl_slot_file_31|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:integer,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|17
tbl_iso_location|id:bigint,iso_id:bigint,iso_name:text,hash:text,location:text,create_time:timestamp without time zone,lib_id:bigint,mag_id:bigint,slot_id:bigint,volume_id:bigint,task_id:bigint,backup_path:text,status:smallint,backup_type:smallint,cmt:text|15
tbl_verify_details|id:bigint,record_id:bigint,number:bigint,file_name:text,file_size:bigint,file_path:text,file_hash:text,zip_file_id:bigint,manage_id:text,package_file_count:bigint,package_file_hash:text,chain_id:text,verify_result:smallint,system_type:smallint,cmt:text|15
tbl_check_patrol_strategy|id:text,strategy_name:text,strategy_description:text,condition_params:text,check_item:text,cron:text,template_id:text,enable:smallint,effective_date:timestamp without time zone,terminated_date:timestamp without time zone,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint,user_id:integer|14
tbl_wait_download_file|id:bigint,file_name:text,file_size:bigint,file_path:text,create_time:timestamp without time zone,user_id:integer,data_type:integer,org_depa_id:integer,download_count:integer,details_count:integer,system_type:smallint,remark:text,cmt:text,file_status:smallint|14
tbl_file_path_archive|id:bigint,job_id:bigint,app_uuid:text,cache_path:text,cache_path_escaped:text,lib_path:text,volume_id:integer,file_id:bigint,folder_id:bigint,file_size:bigint,file_md5:text,check_status:smallint,type:integer,slot_id:integer|14
tbl_check_task_item|id:bigint,task_id:text,check_item_id:text,file_id:text,handle_file:text,handle_method:text,passed:smallint,status:smallint,remarks:text,commit_time:timestamp without time zone,finish_time:timestamp without time zone,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|14
tbl_project_monitor_files|id:bigint,task_id:bigint,project_id:bigint,monitor_id:integer,file_name:text,file_size:bigint,archive_path:text,duration:integer,start_time:timestamp without time zone,end_time:timestamp without time zone,progress:integer,status:integer,retry_times:integer,cmt:text|14
tbl_register_management|id:bigint,create_date:timestamp without time zone,update_date:timestamp without time zone,slot_type:smallint,slot_num:text,slot_info:text,slot_position:text,slot_status:smallint,recall:text,lend:text,detection:text,person_record:text,cmt:text,is_delete:smallint|14
tbl_export_info|id:bigint,zip_file_id:bigint,from_path:text,to_path:text,create_dt:timestamp without time zone,update_dt:timestamp without time zone,media_type:smallint,name:text,file_size:bigint,hash:text,status:smallint,progress:smallint,cmt:text,user_id:integer|14
tbl_api_interface|id:bigint,api_name:text,api_type:text,api_method:text,host:text,port:integer,api_path:text,api_url:text,enable:smallint,remark:text,create_time:timestamp without time zone,update_time:timestamp without time zone,is_build_in:smallint,cmt:text|14
tbl_workspace|ws_id:bigint,depa_id:integer,user_id:integer,ws_name:text,alia_name:text,ws_enable:smallint,ws_type:smallint,ws_code:text,model_id:integer,tac_id:integer,min_optical:smallint,last_optical:smallint,disk_sn:integer|13
